node,name,type,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank,hub_score,authority_score,composite_score
0,User_0,Unknown,347,0.08593363051015354,0.35334266713335666,0.14630592147442917,3.391796172270201e-05,0.006289602618466542,2.1244731409643484e-06,2.124473140972039e-06,0.29772675734116644
1,User_1,Unknown,17,0.004210004952947003,0.2613761408505405,2.7832744209034606e-06,6.045346134948107e-07,0.00023590202311540972,3.8282650989228306e-08,3.828265098898591e-08,0.04805082478187893
2,User_2,Unknown,10,0.0024764735017335313,0.26125776397515527,7.595021178512074e-08,2.2334609371911966e-07,0.00020310565091694567,1.3886642416648456e-08,1.3886642416790578e-08,0.04641170281230246
3,User_3,Unknown,17,0.004210004952947003,0.2613761408505405,1.6850656559280464e-06,6.635648083921052e-07,0.00022552359869430614,4.206079143852267e-08,4.206079143846933e-08,0.047854985991152975
4,User_4,Unknown,10,0.0024764735017335313,0.26125776397515527,1.8403320547933104e-07,2.2364157028893605e-07,0.00023849264701222462,1.3907747996130074e-08,1.3907747996024579e-08,0.04707927171512701
5,User_5,Unknown,13,0.0032194155522535907,0.2613084837895554,2.205964164092193e-06,1.1833221118435216e-06,0.00020234812068977809,7.540395573828228e-08,7.540395573799662e-08,0.046838610396434624
6,User_6,Unknown,6,0.0014858841010401188,0.26119016817593793,2.4537760730577472e-08,2.1709041695161263e-07,0.00018001867135639642,1.3501660183420645e-08,1.3501660183229853e-08,0.045394494657788186
7,User_7,Unknown,20,0.004952947003467063,0.2747686445291236,0.0001702984836730339,2.568510124822489e-05,0.00026267667111515796,1.6460556867074338e-06,1.6460556867076412e-06,0.05592668631748814
8,User_8,Unknown,8,0.001981178801386825,0.2612239617026782,2.7604980821899654e-07,2.1973746334830285e-07,0.00023737300152657922,1.3664880041771741e-08,1.3664880041907425e-08,0.046767330841712355
9,User_9,Unknown,57,0.014115898959881128,0.2620546433902265,1.6454236303026905e-05,2.214116624486093e-06,0.0006001572433028075,1.412660322725971e-07,1.4126603227254137e-07,0.06075121995057315
10,User_10,Unknown,10,0.0024764735017335313,0.26125776397515527,4.986739552037655e-08,7.708567044092624e-07,0.00013504865958890368,4.8968660595350935e-08,4.896866059504785e-08,0.045130335852351995
11,User_11,Unknown,1,0.00024764735017335313,0.26110572259941806,0.0,2.1031233303459666e-07,5.2591423276218314e-05,1.308383051130586e-08,1.3083830510894141e-08,0.04226364292082942
12,User_12,Unknown,1,0.00024764735017335313,0.26110572259941806,0.0,2.1031233303459666e-07,5.2591423276218314e-05,1.308383051130586e-08,1.3083830511133575e-08,0.042263642920829424
13,User_13,Unknown,31,0.007677067855373947,0.26161321671525756,1.7622717578436846e-06,1.103790547598573e-06,0.0003306419576230765,7.02054485518928e-08,7.020544855189801e-08,0.05187596555157562
14,User_14,Unknown,15,0.003714710252600297,0.2613423079412336,5.582871686568508e-07,2.3055679294325335e-07,0.00028864398034146046,1.4330805042609973e-08,1.4330805042627257e-08,0.04875255577187709
15,User_15,Unknown,1,0.00024764735017335313,0.26110572259941806,0.0,2.1031233303459666e-07,5.2591423276218314e-05,1.308383051130586e-08,1.3083830511040852e-08,0.042263642920829424
16,User_16,Unknown,9,0.002228826151560178,0.2612408617454875,1.9979459275532697e-07,2.616513592117462e-07,0.00013324305769198052,1.6339834095913944e-08,1.6339834095826044e-08,0.0449486177276205
17,User_17,Unknown,13,0.0032194155522535907,0.2613084837895554,4.1066669000480344e-07,2.2774170298520142e-07,0.00026000987429524483,1.4157361357695889e-08,1.4157361357714228e-08,0.047921508489182106
18,User_18,Unknown,1,0.00024764735017335313,0.26110572259941806,0.0,2.1031233303459666e-07,5.2591423276218314e-05,1.308383051130586e-08,1.3083830511196582e-08,0.042263642920829424
19,User_19,Unknown,16,0.00396235760277365,0.2613592233009709,5.062957964075819e-06,2.3149092118602842e-07,0.00038064314056362173,1.438902380963121e-08,1.4389023809643306e-08,0.05063478072487681
20,User_20,Unknown,15,0.003714710252600297,0.2613423079412336,6.793693332142838e-07,2.3038875741121886e-07,0.00029297537600066995,1.4320570682850233e-08,1.432057068279008e-08,0.04883429788128459
21,User_21,Unknown,65,0.016097077761267953,0.2756125861715924,0.0009380243844653233,2.5965755464539663e-05,0.0006928319433106635,1.6638288041791324e-06,1.6638288041790572e-06,0.07085657637860536
22,User_22,Unknown,11,0.0027241208519068845,0.2612746683921061,6.703002200833232e-07,1.0365420550578182e-06,0.00016385672869526872,6.600384205443441e-08,6.600384205435589e-08,0.04582056192561098
23,User_23,Unknown,17,0.004210004952947003,0.2613761408505405,6.860348937590618e-06,2.327855955467465e-07,0.0004043263404882842,1.4470266075738125e-08,1.4470266075768605e-08,0.05122750082137338
24,User_24,Unknown,16,0.00396235760277365,0.2613592233009709,1.3673472422981514e-07,2.4875636881516775e-07,0.00022824011209266327,1.5490887820107275e-08,1.5490887820218974e-08,0.04775848408423141
25,User_25,Unknown,69,0.017087667161961365,0.26225888160031174,5.38808313945586e-05,2.0920477409908786e-06,0.0008004126605197681,1.3339915006550606e-07,1.3339915006540844e-07,0.06628509108395837
26,User_26,Unknown,68,0.016840019811788013,0.26224184959085595,1.935436798204632e-05,2.333621078244131e-06,0.0006922746319436038,1.488732079216113e-07,1.488732079214197e-07,0.06409052871183721
27,User_27,Unknown,5,0.0012382367508667657,0.2611732746911584,3.067220091322184e-08,3.8500493368810947e-07,9.900477693053426e-05,2.426077857901741e-08,2.426077857933031e-08,0.043721604438347376
28,User_28,Unknown,13,0.0032194155522535907,0.2613084837895554,3.812160659244892e-07,2.276328150659143e-07,0.0002552192093758929,1.4150721353041006e-08,1.4150721353243678e-08,0.04783112882783259
29,User_29,Unknown,13,0.0032194155522535907,0.2613084837895554,1.3954817951917517e-06,2.9276633115487333e-07,0.00019154955480122382,1.831785318112688e-08,1.8317853181160814e-08,0.0466306670716632
30,User_30,Unknown,17,0.004210004952947003,0.2613761408505405,1.3694627409316544e-06,9.62912044010581e-07,0.0002121964513121638,6.124954907292424e-08,6.124954907272195e-08,0.04760483517666835
31,User_31,Unknown,23,0.005695889053987122,0.2614776921582594,4.932641252790837e-06,1.4530295555049823e-06,0.00029936195818065976,9.264134022922597e-08,9.264134022907635e-08,0.05012493644186559
32,User_32,Unknown,6,0.0014858841010401188,0.26119016817593793,0.0,2.172656002138456e-07,0.00014788937149430478,1.3512323058607026e-08,1.3512323058302055e-08,0.04478840550713904
33,User_33,Unknown,2,0.0004952947003467063,0.26112260734609416,0.0,2.1162712130634827e-07,9.172093610965165e-05,1.3164908226344964e-08,1.316490822647095e-08,0.04314718911339755
34,User_34,Unknown,5,0.0012382367508667657,0.3033125516412529,0.0036020881281963652,4.074184547679874e-06,9.248443396698941e-05,2.5884352001144354e-07,2.5884352001117556e-07,0.0660752246296304
35,User_35,Unknown,2,0.0004952947003467063,0.26112260734609416,0.0,2.1171402853040497e-07,7.353643512923525e-05,1.3170205350668529e-08,1.3170205350500749e-08,0.0428041596094492
36,User_36,Unknown,11,0.0027241208519068845,0.2612746683921061,2.726417858953052e-08,2.356058109794917e-07,0.0001850267791448929,1.4669028358827262e-08,1.4669028358632366e-08,0.04621612269797952
37,User_37,Unknown,1,0.00024764735017335313,0.26110572259941806,0.0,2.1031233303459666e-07,5.2591423276218314e-05,1.308383051130586e-08,1.3083830511190388e-08,0.042263642920829424
38,User_38,Unknown,9,0.002228826151560178,0.2612408617454875,7.344481172858835e-07,7.219113580673047e-07,0.00014126143938496464,4.584317128242162e-08,4.584317128231865e-08,0.04510210146082146
39,User_39,Unknown,15,0.003714710252600297,0.2613423079412336,9.548632622274015e-07,4.869308388829613e-07,0.00019468359653213862,3.074758215946149e-08,3.074758215933927e-08,0.046981368786067144
40,User_40,Unknown,44,0.010896483407627538,0.26183374400207493,1.3796059569123122e-05,1.7851968170490274e-06,0.0004956290864477818,1.1383451247449018e-07,1.1383451247450847e-07,0.0568857040745654
41,User_41,Unknown,24,0.005943536404160475,0.26149462504856885,4.673274954378314e-06,2.430097031380907e-07,0.00046530604538298797,1.509825022517682e-08,1.5098250225124616e-08,0.05339520304259726
