id,label,type,degree
0,User_0,Unknown,347
1,User_1,Unknown,17
2,User_2,Unknown,10
3,User_3,Unknown,17
4,User_4,Unknown,10
5,User_5,Unknown,13
6,User_6,Unknown,6
7,User_7,Unknown,20
8,User_8,Unknown,8
9,User_9,Unknown,57
10,User_10,Unknown,10
11,User_11,Unknown,1
12,User_12,Unknown,1
13,User_13,Unknown,31
14,User_14,Unknown,15
15,User_15,Unknown,1
16,User_16,Unknown,9
17,User_17,Unknown,13
18,User_18,Unknown,1
19,User_19,Unknown,16
20,User_20,Unknown,15
21,User_21,Unknown,65
22,User_22,Unknown,11
23,User_23,Unknown,17
24,User_24,Unknown,16
25,User_25,Unknown,69
26,User_26,Unknown,68
27,User_27,Unknown,5
28,User_28,Unknown,13
29,User_29,Unknown,13
30,User_30,Unknown,17
31,User_31,Unknown,23
32,User_32,Unknown,6
33,User_33,Unknown,2
34,User_34,Unknown,5
35,User_35,Unknown,2
36,User_36,Unknown,11
37,User_37,Unknown,1
38,User_38,Unknown,9
39,User_39,Unknown,15
40,User_40,Unknown,44
41,User_41,Unknown,24
42,User_42,Unknown,2
43,User_43,Unknown,1
44,User_44,Unknown,6
45,User_45,Unknown,12
46,User_46,Unknown,5
47,User_47,Unknown,2
48,User_48,Unknown,22
49,User_49,Unknown,4
50,User_50,Unknown,11
51,User_51,Unknown,7
52,User_52,Unknown,2
53,User_53,Unknown,31
54,User_54,Unknown,8
55,User_55,Unknown,17
56,User_56,Unknown,78
57,User_57,Unknown,15
58,User_58,Unknown,12
59,User_59,Unknown,19
60,User_60,Unknown,8
61,User_61,Unknown,3
62,User_62,Unknown,26
63,User_63,Unknown,6
64,User_64,Unknown,7
65,User_65,Unknown,12
66,User_66,Unknown,15
67,User_67,Unknown,76
68,User_68,Unknown,9
69,User_69,Unknown,10
70,User_70,Unknown,2
71,User_71,Unknown,3
72,User_72,Unknown,24
73,User_73,Unknown,10
74,User_74,Unknown,1
75,User_75,Unknown,14
76,User_76,Unknown,3
77,User_77,Unknown,6
78,User_78,Unknown,9
79,User_79,Unknown,12
80,User_80,Unknown,23
81,User_81,Unknown,3
82,User_82,Unknown,34
83,User_83,Unknown,7
84,User_84,Unknown,13
85,User_85,Unknown,14
86,User_86,Unknown,6
87,User_87,Unknown,13
88,User_88,Unknown,20
89,User_89,Unknown,8
90,User_90,Unknown,2
91,User_91,Unknown,8
92,User_92,Unknown,21
93,User_93,Unknown,8
94,User_94,Unknown,22
95,User_95,Unknown,6
96,User_96,Unknown,9
97,User_97,Unknown,3
98,User_98,Unknown,49
99,User_99,Unknown,13
100,User_100,Unknown,9
101,User_101,Unknown,19
102,User_102,Unknown,6
103,User_103,Unknown,16
104,User_104,Unknown,32
105,User_105,Unknown,14
106,User_106,Unknown,8
107,User_107,Unknown,1045
108,User_108,Unknown,13
109,User_109,Unknown,37
110,User_110,Unknown,5
111,User_111,Unknown,14
112,User_112,Unknown,3
113,User_113,Unknown,40
114,User_114,Unknown,1
115,User_115,Unknown,21
116,User_116,Unknown,17
117,User_117,Unknown,6
118,User_118,Unknown,36
119,User_119,Unknown,62
120,User_120,Unknown,4
121,User_121,Unknown,12
122,User_122,Unknown,63
123,User_123,Unknown,18
124,User_124,Unknown,4
125,User_125,Unknown,4
126,User_126,Unknown,7
127,User_127,Unknown,16
128,User_128,Unknown,28
129,User_129,Unknown,7
130,User_130,Unknown,16
131,User_131,Unknown,7
132,User_132,Unknown,16
133,User_133,Unknown,18
134,User_134,Unknown,19
135,User_135,Unknown,10
136,User_136,Unknown,133
137,User_137,Unknown,16
138,User_138,Unknown,2
139,User_139,Unknown,9
140,User_140,Unknown,11
141,User_141,Unknown,28
142,User_142,Unknown,43
143,User_143,Unknown,12
144,User_144,Unknown,15
145,User_145,Unknown,2
146,User_146,Unknown,10
147,User_147,Unknown,6
148,User_148,Unknown,20
149,User_149,Unknown,14
150,User_150,Unknown,11
151,User_151,Unknown,7
152,User_152,Unknown,5
153,User_153,Unknown,2
154,User_154,Unknown,2
155,User_155,Unknown,3
156,User_156,Unknown,12
157,User_157,Unknown,3
158,User_158,Unknown,25
159,User_159,Unknown,14
160,User_160,Unknown,2
161,User_161,Unknown,25
162,User_162,Unknown,8
163,User_163,Unknown,6
164,User_164,Unknown,3
165,User_165,Unknown,11
